"","u_number","sex","race","age","high_school","full_part","city","stat_code","zip","pell_grant","camp_code","major","hours_attempted","hours_earned","mc_gpa","pass_engl","pass_math","term_year","summer2","fall"
"1","20190001","F","Hispanic","18 - 20","Out of State High School","PT","Gaithersburg","MD","20878","N","R","General Studies",10,10,4,"Y","Y","2020","N","Y"
"2","20190002","M","Hispanic","18 - 20","Walter Johnson High School","FT","Rockville","MD","20852","N","R","Business",22,18,3,"Y","N","2020","N","Y"
"3","20190004","M","Asian","18 - 20","Thomas Sprigg Wootton High Sch","PT","Gaithersburg","MD","20878","N","R","Science",4,0,0,"N","N","2020","N","Y"
"4","20190005","M","Hispanic","18 - 20","FOREIGN / INTERNATIONAL HS","FT","Chevy Chase","MD","20815","N","R","General Studies",13,3,4,"N","N","2020","N","Y"
"5","20190006","F","Hispanic","18 - 20","Springbrook Sr High School","FT","Silver Spring","MD","20904","N","T","General Studies",10,10,3.7,"Y","N","2020","N","Y"
"6","20190007","F","Hispanic","18 - 20","Living Grace Christian School","FT","Gaithersburg","MD","20877","Y","R","Graphic Design",13,13,2.77,"N","N","2020","N","Y"
"7","20190008","M","White","18 - 20","Gaithersburg High School","PT","Gaithersburg","MD","20882","N","G","General Studies",9,9,3.67,"Y","Y","2020","N","Y"
"8","20190009","M","White","18 - 20","Winston Churchill High School","FT","Potomac","MD","20854","Y","R","Cybersecurity",12,0,0,"N","N","2020","N","Y"
"9","20190010","N","Hispanic","18 - 20","Gaithersburg High School","FT","Gaithersburg","MD","20877","N","R","General Studies",17,12,2.67,"Y","N","2020","N","Y"
"10","20190011","F","Black / African Am.","18 - 20","Northwood High School","PT","Silver Spring","MD","20906","Y","T","General Studies",2,0,0,"N","N","2020","N","Y"
"11","20190012","M","Asian","18 - 20","Gaithersburg High School","PT","Gaithersburg","MD","20882","N","R","Business",10,10,2.3,"Y","Y","2020","N","Y"
"12","20190013","F","Asian","18 - 20","FOREIGN / INTERNATIONAL HS","PT","Silver Spring","MD","20903","Y","T","Health Sciences",10,0,0,"N","N","2020","N","Y"
"13","20190014","F","Hispanic","18 - 20","Rockville High School","FT","Rockville","MD","20853","Y","R","Science",14,10,3.6,"Y","Y","2020","N","Y"
"14","20190015","F","Hispanic","18 - 20","Rockville High School","FT","Rockville","MD","20853","N","R","Health Sciences",22,9,0,"N","N","2020","N","Y"
"15","20190016","M","Black / African Am.","18 - 20","Gaithersburg High School","PT","Gaithersburg","MD","20877","Y","R","General Studies",3,3,2,"Y","N","2020","N","Y"
"16","20190017","F","Black / African Am.","18 - 20","Watkins Mill High School","FT","Germantown","MD","20876","Y","G","General Studies",18,6,0,"N","N","2020","N","Y"
"17","20190018","F","White","18 - 20","Walter Johnson High School","FT","Kensington","MD","20895","N","R","General Studies",12,6,3,"Y","N","2020","N","Y"
"18","20190019","M","White","18 - 20","Rockville High School","FT","Rockville","MD","20851","N","R","Engineering Science",13,9,1.67,"Y","N","2020","N","Y"
"19","20190021","M","Asian","21 - 24","Watkins Mill High School","PT","Germantown","MD","20874","Y","R","Health Sciences",6,0,0,"N","N","2020","N","Y"
"20","20190022","M","Hispanic","18 - 20","Winston Churchill High School","FT","Potomac","MD","20854","N","R","Computer Science",13,13,3.77,"Y","Y","2020","N","Y"
"21","20190023","F","Hispanic","18 - 20","Richard Montgomery High School","FT","Chevy Chase","MD","20815","Y","R","General Studies",9,6,2,"Y","N","2020","N","Y"
"22","20190024","M","White","18 - 20","Quince Orchard Sr High School","FT","Gaithersburg","MD","20879","Y","G","Cybersecurity",9,6,0.67,"N","N","2020","N","Y"
"23","20190025","F","Hispanic","18 - 20","Duval Sr High School","FT","New Carrollton","MD","20784","N","R","Business",13,9,3.33,"Y","N","2020","N","Y"
